tahun,nama_provinsi,kode_kabkota,nama_kabkota,kkks,jenis_minyak,penerimaan_sda,dbh_prov,dbh_penghasil,dbh_pemerataan,latitude,longitude
2010,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur","MOBIL PASE","Arun Cond.",,,,,4.56983,97.7723
2010,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara","EXXONMOBIL OIL-ARUN","Arun Cond.",3.964e+11,1.189e+10,2.378e+10,2.378e+10,4.99764,97.1454
2010,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara","EXXONMOBIL OIL-SLS","Arun Cond.",2.611e+10,7.833e+08,1.567e+09,1.567e+09,4.99764,97.1454
2010,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang","PT. PERTAMINA EP.","NSC",7.637e+10,2.291e+09,4.582e+09,4.582e+09,4.20756,98.0029
2010,"Prov. Sumatera Utara",1212,"Kab. Deli Serdang","PT. PERTAMINA EP.","NSC",16440857,509666.57,1019333.1,1019333.1,3.46231,98.888
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","DISKI","NSC",,,,,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","BATUMANDI  PETROLEUM","NSC",,,,,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","PT. PERTAMINA EP.","NSC",2.224e+10,6.896e+08,1.379e+09,1.379e+09,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","JOBP. COSTA INT'L GROUP LTD - COSTA INT'L","ARBEI",,,,,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","EKSINDO TELAGA SAID","NSC",2.510e+09,77820342,1.556e+08,1.556e+08,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","JOBP. COSTA INT'L GROUP LTD - PPI","ARBEI",,,,,3.766,98.2307
2010,"Prov. Sumatera Utara",1213,"Kab. Langkat","PUTRA KENCANA BASILAM","NSC",,,,,3.766,98.2307
2010,"Prov. Sumatera Utara",1276,"Kota Binjai","PT. PERTAMINA EP.","NSC",2.986e+09,92564628,1.851e+08,1.851e+08,3.61904,98.4846
2010,"Prov. Riau",1402,"Kab. Indragiri Hulu","UBEP. LIRIK","Lirik",4.323e+10,1.340e+09,2.680e+09,2.680e+09,-.522681,102.243
